Id,PostHistoryTypeId,PostId,RevisionGUID,CreationDate,UserId,UserDisplayName,Comment,CloseReasonTypes,Text,is_functional_issue_1,is_functional_issue_2,arbitration
46457929,1,18572943,c07a9415-0e16-421a-ab98-74bb15225bff,2013-09-02T12:09:49.307,1441771,,,,Configuring gralyog2 for grails,0,1,1
125794057,4,18572943,84fa6127-a6b9-4825-8e07-16dc62e23c79,2016-08-26T16:21:06.197,487033,,deleted 19 characters in body; edited title,,Configuring graylog2 for grails,0,1,1
58880204,1,22005507,7639714f-a97d-4809-9678-bb853e92ffc6,2014-02-25T05:36:43.103,3138350,,,,Need help to format output.,0,0,0
58880460,4,22005507,89b9f669-3fa2-441a-acb1-9ee18967565c,2014-02-25T05:41:38.790,1009479,,formatting,,Need help to format output,0,0,0
163787435,1,48047296,e0cd79b5-f67d-4fc9-be6c-7edcd676abe8,2018-01-01T05:11:27.640,,user9155788,,,Cannot get xpath to work to get output and protect against glitches,0,0,0
163976457,4,48047296,8c230a55-fba2-4419-934a-1c4c713b8212,2018-01-04T10:19:23.020,,user9155788,added 4631 characters in body; edited tags; edited title,,pyinstaller updater with github / bitbucket,0,0,0
164203795,4,48047296,44d0464b-4602-4292-b632-55f1a79a19f8,2018-01-08T07:46:04.643,,user9155788,deleted 4945 characters in body; edited tags; edited title,,pyinstaller updater with github / bitbucket private repos,0,0,0
1111500,1,646089,a1ca1024-f47f-454b-ba3d-ea50df802e11,2009-03-14T15:25:48.507,72837,,,,Java Robot createScreenCapture performence,0,0,0
1111503,4,646089,526db832-87a0-41b6-9924-c3a40df6dec2,2009-03-14T15:28:26.253,6461,,added 14 characters in body; edited tags; edited title,,Java Robot createScreenCapture performance,0,0,0
119385230,1,37557449,a7c8f8ac-fc06-45e2-9111-c1e9499c45a9,2016-06-01T00:00:38.427,2752305,,,,Else not raising errors in python try-except-else,0,0,0
119385415,4,37557449,27c7521d-b30f-46b1-b518-2f667edf7eec,2016-06-01T00:06:17.460,355230,,Removed language tag from question title.,,Else not raising errors in try-except-else,0,0,0
128987141,1,39965267,65f8389a-6dd6-4509-88c0-0c865e05f921,2016-10-10T19:18:37.580,4197133,,,,symfony pre_submit change field order,0,0,0
128992528,4,39965267,9948cc40-14c6-40bd-a5e4-3c2d8568ef8a,2016-10-10T20:56:46.260,2993200,,First name in capital letters,,Symfony pre_submit change field order,0,0,0
6909472,1,3324947,863a301e-0549-448e-a189-4af9213f676e,2010-07-24T11:42:22.577,392132,,,,Yielding until all needed values are yielded,1,0,0
6914262,4,3324947,6effac51-dd36-4e13-834e-0bbbb7c9c73a,2010-07-24T21:49:43.843,392132,,edited title,,"Yielding until all needed values are yielded, is there way to make slice to truncate its input",1,0,0
6941409,4,3324947,f0d26717-e908-415a-94c0-178235a976e9,2010-07-26T22:07:51.610,392132,,added 15 characters in body; edited title; deleted 17 characters in body; edited title; edited body,,"Yielding until all needed values are yielded, is there way to make slice to become lazy",1,0,0
111300092,1,35517021,9671d718-525f-4bf5-aadf-24baa0ae895a,2016-02-19T23:32:26.810,5361412,,,,PHP Mysql - How to insert default value in a prepared statement,1,1,1
111304437,4,35517021,836b102a-4704-4c23-bdbb-563a4efc1ec1,2016-02-20T01:42:37.863,5513684,,"spelling, grammar fixes, tags",,PHP MySQL - How to insert default value in a prepared statement,1,1,1
405097,1,41207,2574bf03-050b-46d5-a1f9-5db9d289546a,2008-09-03T05:27:19.487,720,,,,JavaScript shell with completion,0,0,0
405100,4,41207,a85fb7d7-9924-41b1-bf66-5bcd48c6d215,2008-09-03T05:42:11.277,720,,edited title,,JavaScript interactive shell with completion,0,0,0
189699367,1,54225908,d43f4d6d-1458-4337-8ac4-7bc46fa41ac7,2019-01-16T21:48:42.723,5150335,,,,Neural network with Softmax Output layer predicting incorrectly,0,0,0
189699860,4,54225908,8bfb60cb-6fd3-4c58-9bb7-4a69b4d7fbea,2019-01-16T21:57:20.260,5150335,,added 733 characters in body,,Binary Classification NN with Softmax Output Layer Predicting Incorrectly,0,0,0
24958130,1,10805892,f92b3d9e-3f7e-47ba-b9ad-2ab9bec66362,2012-05-29T20:04:03.563,1410476,,,,"How to change a php paert of a web page without reloading a whole page correctly, I've got an error too",1,1,1
24975871,4,10805892,f209a843-d398-4134-a35d-6b5058d17475,2012-05-30T08:38:21.690,569101,,deleted 57 characters in body; edited title,,How to change part of a web page without reloading a whole page correctly?,1,1,1
13989879,1,6428823,4afcc271-7bde-44e6-86ae-0be5e46d63cf,2011-06-21T16:33:35.567,201255,,,,Backbone.js fetch a collection using post?,1,1,1
133629201,4,6428823,51709ad3-6362-4581-8283-ef7102cdeaab,2016-12-12T02:39:26.847,1218980,,Fixed title and question format,,Fetch a collection using a POST request?,1,1,1
123290786,1,38541337,e409604e-092a-4346-8e40-d475433853f4,2016-07-23T11:37:06.200,2071673,,,,Why removeall() command is not removing all the components from JFrame ?,1,0,0
123290840,4,38541337,80fd0c4f-ec05-4149-bff0-b78c510b4fd1,2016-07-23T11:38:09.830,2071673,,Updated,,Why removeall() command is not removing all the components from JFrame?,1,0,0
123400995,4,38541337,43aecad9-3e51-494e-bae4-efe829591617,2016-07-25T11:43:52.990,5595825,,added 2 characters in body; edited title,,Why removeall() method is not removing all the components from JFrame?,1,0,0
145180191,1,43924064,c74f93ee-5ec3-4d69-86f0-1e3927672190,2017-05-11T19:29:12.787,7840718,,,,How to Translate MvcPaging?,1,1,1
145245146,4,43924064,5f581611-bfcf-4ccd-923e-524fbfd8c336,2017-05-12T15:15:10.977,7840718,,edited title,,How to Translate Mvc4.Paging?,1,1,1
37669774,1,15486093,d22f723b-a947-464a-b2b5-ef6adbda6329,2013-03-18T20:17:50.140,1106247,,,,C# FontStyles other than standard,1,1,1
37684452,4,15486093,accfcdef-2541-4ade-a8db-eae47831dc76,2013-03-19T04:18:23.320,41956,,added 1 characters in body; edited title,,FontStyles other than standard,1,1,1
93338739,1,30968243,2a66a465-e243-49e6-9d50-09edd13ecffb,2015-06-21T19:04:33.897,4443260,,,,"When calling a recursive function to order values, it misses one. How do i fix this?",0,0,0
93338792,4,30968243,9149adfb-da1e-4db6-b349-3e5950d9cb49,2015-06-21T19:06:14.500,1009479,,edited body; edited title,,"When calling a recursive function to order values, it misses one. How do I fix this?",0,0,0
91847369,1,30588644,982e30d5-64ea-40f9-ae47-10d5d53c6898,2015-06-02T06:12:28.103,1044213,,,,how to make the things hidden in wpf,1,1,1
91853022,4,30588644,d62e1322-b42f-46a3-a442-88458db6d906,2015-06-02T07:35:49.653,3863759,,Changed titel to something more informative about the question,,how to hide items behind a panel in wpf,1,1,1
134442233,1,41289966,bfb9f173-2092-436c-9116-4c3a8b41449d,2016-12-22T18:56:19.153,7331692,,,,XML- XElement multiple root elements,1,1,1
134448785,4,41289966,3922afe5-a675-4d54-9976-26da29f0039b,2016-12-22T20:56:10.730,107625,,Removed tags from title.,,XElement multiple root elements,1,1,1
82413081,1,28158685,feb6b6db-db99-4f11-a8f9-dbfd1eeb68ac,2015-01-26T21:00:41.470,147390,,,,Truncate middle of text and replace with ellipsis in one command,1,1,1
82413746,4,28158685,da050115-dba5-40df-8105-ef2470d8b33b,2015-01-26T21:12:19.700,147390,,edited title,,Truncate middle of STDOUT text and replace with ellipsis in one command,1,1,1
82414404,4,28158685,627d0181-0e27-4eb0-924a-b379883be42e,2015-01-26T21:24:59.230,1566221,,"Removed all references to a file, to make it clear that input is provided through a pipe",,Truncate middle of piped text and replace with ellipsis in one command,1,1,1
63268138,1,23175690,cf3b61ef-53cc-4177-9c62-123a93857e2c,2014-04-19T21:18:59.740,3477610,,,,(PRIORITY) How do i use setListAdapter for a specific ListView in FragmentActivity,1,1,1
63268223,4,23175690,6fdd5048-9b77-4b2d-adf0-554f3fff057c,2014-04-19T21:21:53.417,416549,,Not a priority,,How do i use setListAdapter for a specific ListView in FragmentActivity,1,1,1
63311992,4,23175690,eb6c2bb0-ddc2-4f88-96d7-6c22a681212c,2014-04-20T21:28:58.507,3477610,,"Of course it's priority, i need it for my final exams!",,(Priority) How do i use setListAdapter for a specific ListView in FragmentActivity,1,1,1
147976002,1,44202499,00975412-c7bf-44a8-a656-bf84dd8ad080,2017-05-26T13:10:09.930,8070525,,,,Hot to get the right KEY and IV in Rinjdael encryption equivalent in JAVA,1,1,1
147977210,4,44202499,22dc9133-76ad-484f-8a22-71fe9da24de5,2017-05-26T13:24:48.850,1816580,,deleted 426 characters in body; edited tags; edited title,,How to get the right KEY and IV in Rinjdael encryption equivalent in JAVA,1,1,1
44158025,1,17810174,8db05b35-a015-49f4-bbad-bfc004ddf34f,2013-07-23T12:26:57.570,1401322,,,,why can't memcpy guaranteed safe for non-pod types,0,0,0
44158253,4,17810174,437081b8-747a-4ec7-86e6-0b5b3576aadd,2013-07-23T12:30:59.917,635608,,edited title,,Why isn't memcpy guaranteed to be safe for non-POD types?,0,0,0
20678898,1,9126177,ba35e20e-5481-408b-aee5-34dc89f16ab1,2012-02-03T09:13:17.067,279159,,,,What is a good way to 'emit' when a recursive call is at its final depth level,0,0,0
20706247,4,9126177,b6dab471-0543-4b12-80b8-a808e072ffd1,2012-02-03T23:55:39.530,,user166390,"title, tags",,"What causes ""no method"" error when function invokes itself recursively?",0,0,0
42562150,1,17250576,e4064cbd-9eb7-4b2f-8e30-1ec6726a20d1,2013-06-22T12:12:10.290,1774964,,,,Hive UDF for SOAP XPath,0,0,0
42568304,4,17250576,e6572a1d-5972-485b-bd34-429b258a460c,2013-06-22T12:44:40.980,2511619,,"grammar, markup",,Hive UDF for SOAP XPath?,0,0,0
157561518,1,46556415,f7ef1af3-c124-42b8-966e-a3260ada96f4,2017-10-04T03:10:45.657,40106,,,,Why doesn't Angular project start?,0,0,0
157562393,4,46556415,6708d53d-34d1-455d-980b-cead442c1c11,2017-10-04T03:40:12.777,415078,,edited title,,Why doesn't Angular CLI project start?,0,0,0
104243782,1,33740695,fa8d72dd-dc2b-4ce4-a160-5eea2776f603,2015-11-16T17:01:15.027,3501083,,,,symfony2 doctrine - adding children to self related entity,1,1,1
104443956,4,33740695,d069d983-d612-4065-b2ff-43a0c640f2a8,2015-11-18T22:49:06.240,2186169,,Fixed grammar and spelling,,symfony2 doctrine - Adding children to self-related Entity,1,1,1
126607655,1,39372956,c5a6b9b0-1c16-43b9-bda1-3c93e605033e,2016-09-07T14:43:11.140,1081588,,,,Duplicate the leaflet div with a heatmap,1,1,1
126650208,4,39372956,036a1002-8dcf-4a5a-93c4-238e714ba4a4,2016-09-08T06:19:35.340,1081588,,added 62 characters in body; edited title,,Duplicate a leaflet div (a div that contains also a heatmap),1,1,1
91120648,1,30405733,248cca03-f605-499e-8622-305372f4e37b,2015-05-22T20:55:42.113,4609282,,,,SQL: Query to merge (some) rows,1,1,1
142205871,4,30405733,cbe6483b-e54f-495d-a13f-b8cae0f19790,2017-04-03T14:33:16.393,1905949,,deleted 61 characters in body; edited tags; edited title,,Query to merge (some) rows,1,1,1
45602185,1,18318637,b57944a2-0480-4d18-916e-adb154d76bbc,2013-08-19T16:27:32.497,2402599,,,,"Getting <p> tag parent class name, Nokogiri",1,1,1
45626491,4,18318637,7ee3b64b-7afc-4119-b073-14b8482ffcc3,2013-08-20T05:24:00.570,128421,,deleted 72 characters in body; edited title,,How do I get the <p> tag parent class name using Nokogiri?,1,1,1
151273466,1,45022262,8b07bbc1-33c3-4cab-9292-3cd9e076f9f9,2017-07-10T21:55:37.060,8164009,,,,Noob coders 2: The electric boogaloo,0,0,0
151273725,4,45022262,2f62a256-ca7a-43cc-afde-1b0be4b509b7,2017-07-10T22:02:11.320,2026508,,delete everything not relevant to the actual question.,,Bash Syntax Error syntax error: unexpected end of file,0,0,0
145458883,1,43991922,2c703a54-510e-4823-9e4a-3acde44d9321,2017-05-16T03:17:49.703,3369042,,,,ovveride login Authentication in laravel,1,1,1
158496837,4,43991922,86c3b7c5-9ac0-4f76-9ae5-deb7d6b67aae,2017-10-17T06:00:03.370,5608921,,edited title,,Overide login Authentication in laravel,1,1,1
174091081,4,43991922,99d4f7cb-57c6-493b-9e6d-d022682e293e,2018-05-24T07:11:18.013,7756492,,corrected spelling...,,Override login Authentication in laravel,1,1,1
95384294,1,31490230,c283aa80-6347-4f97-8d05-9cc56cdf12b4,2015-07-18T10:30:26.107,2474913,,,,How to read the JSon response in Unity using c#,1,1,1
95385020,4,31490230,b4405dfd-4440-4054-9389-345c2a74ec9b,2015-07-18T10:54:43.997,996081,,"Phrasing, code formatting",,How to read a JSON response in Unity,1,1,1
95385023,4,31490230,dc6e6107-7093-4e53-a45e-354e336962e1,2015-07-18T10:54:43.997,2692339,,"Phrasing, code formatting",,How to read a JSON response in Unity?,1,1,1
111519079,1,35570300,6ba386ca-e7de-49f1-a01c-347b559cb9ef,2016-02-23T06:23:28.740,5952254,,,,Is it possible to clean blob in chrome?,0,1,1
111520998,4,35570300,79eb5801-fd24-4a7b-9bdf-95a30e387f91,2016-02-23T06:58:30.543,5952254,,edited title,,Is it possible to clean blob in chrome before the usage of storage over the limitation(500MB)?,0,1,1
32659100,1,13683213,485df731-091f-4573-abbd-92530da6fbbd,2012-12-03T12:24:57.030,1872212,,,,DHTMLX Recurring Events format for every Sunday,1,1,1
32704353,4,13683213,249798f5-037e-4cc4-a790-734c668801e1,2012-12-04T09:29:11.747,1872212,,added extra code,,DHTMLX Recurring Events in MVC3,1,1,1
59015951,1,22042539,e9ba99d8-e1dc-4eb3-9a00-01fd6fd299ad,2014-02-26T13:14:08.697,1714329,,,,php how to format a string to proper url,1,1,1
59017386,4,22042539,798bc4b0-7f00-4cf4-9c7b-29afe81e0ca1,2014-02-26T13:32:07.577,2294775,,edited title,,How to generate URL slugs (SEO URLs) from raw input,1,1,1
15580470,1,7096173,cf1ef85e-3ff1-462b-a65f-ad3e84f78cac,2011-08-17T16:19:38.823,865961,,,,How do I create a pre-populated database for iOS,1,1,1
15655334,4,7096173,0679da30-f639-4fb6-946e-0e707eaa1799,2011-08-19T20:58:59.600,865961,,clarified title and description,,How do I create second target in my project to create a pre-populated database for iOS,1,1,1
11446885,1,5353905,96074928-a86a-4771-b8bb-df3d1d388591,2011-03-18T15:09:07.170,592344,,,,converting array into other array type,1,1,1
11447189,4,5353905,e217b893-bc31-44a2-bda8-69fc352fce9b,2011-03-18T15:18:29.893,161052,,Tag and Title,,How do I store all results from an SQL query in a multidimensional array?,1,1,1
151887059,1,45174504,911a33f7-1da7-4abb-ab36-60012d86eec1,2017-07-18T18:30:50.467,5077065,,,,grouping inside xsl file won't give me any results.,0,0,0
151916219,4,45174504,b4bf7a20-ed3e-46fe-82a2-359ba0d393fb,2017-07-19T05:49:08.760,5077065,,added 6757 characters in body; edited title,,grouping inside xsl file won't give me any results,0,0,0
123723229,1,38650356,0221959f-5281-46f1-9cbd-a406dcddeacb,2016-07-29T04:07:07.147,,user1135300,,,set DEV_TOOLS_WIN_TOOLS_CHAIN=0 if you are not a googler,0,0,0
123781868,4,38650356,8c0ec8cf-ca6e-4698-a0b1-1da3d6cd9249,2016-07-29T18:43:54.183,,user1135300,corrected env var,,set DEPOT_TOOLS_WIN_TOOLCHAIN=0 if you are not a googler,0,0,0
155606103,1,46085766,86bd3367-2c51-458d-af12-3a34bad002ac,2017-09-06T23:39:04.000,8571585,,,,loop over json data object and display all except one value,1,1,1
155621535,4,46085766,cd0a4e4f-83c6-46f8-91db-67eb4756aa97,2017-09-07T06:47:33.917,8571585,,edited title,,loop over json data object and display all dynamically except one value,1,1,1
155627030,4,46085766,78f56106-0f28-445f-bb03-ff470a2b81c4,2017-09-07T07:59:54.913,8571585,,correction of the title,,loop over json data array and display all dynamically except one value,1,1,1
155629919,4,46085766,676dd177-06c0-4a0c-a421-cc2af71a285e,2017-09-07T08:40:51.740,8571585,,change the title to be more specific,,Not to display the ID (title & value) while looping over json data array dynamically,1,1,1
69255563,1,24728022,94aa5be3-e921-4549-8ef1-8d8dd593d439,2014-07-14T00:02:33.777,535967,,,,Get phone screen rotation in Swift?,1,1,1
69620895,4,24728022,35fa6396-8664-4dc9-8003-435f7b14fbfb,2014-07-18T12:49:18.750,535967,,edited title,,Get device absolute rotation in Swift?,1,1,1
69685694,4,24728022,5f42ac4d-dd95-47c9-874d-755fc6255adf,2014-07-19T16:45:35.853,535967,,edited title,,Get device absolute rotation with Accelerometer and Gyroscope?,1,1,1
70558309,4,24728022,cdd3ee90-09d2-4c5d-b042-926f6d2a3df4,2014-08-01T01:28:15.333,535967,,added 649 characters in body; edited title,,Obtain absolute rotation using CMDeviceMotion?,1,1,1
114963899,1,36436077,3774901f-8388-427d-b6ac-94981e04a50b,2016-04-05T20:09:44.757,907975,,,,Update dictionary with previously deleted items - Swift,1,1,1
114963945,4,36436077,803ca95e-5958-4de1-bb48-43485200e7a8,2016-04-05T20:10:23.917,2227743,,edited title,,Update dictionary with previously deleted items,1,1,1
19548086,1,8679106,e2834f9e-24c2-43e1-a6a0-fb39a832af2d,2011-12-30T11:43:36.827,526559,,,,co-ordinate retrieved from image is not correct using abbyy ocr sdk,0,0,0
19677212,4,8679106,07a7aa08-bcde-4b21-88c2-9c4acc1d0d19,2012-01-04T15:23:41.917,57428,,deleted 43 characters in body; edited title,,Incorrect coordinates retrieved from image using ABBYY OCR SDK,0,0,0
33657849,1,14039038,3ec9902e-a3b2-4905-bceb-8badbf3c08f1,2012-12-26T10:10:48.333,991124,,,,Use JAAS for ldap password with spring security,1,1,1
33662648,4,14039038,7620878a-90ad-4d9f-abb5-1c350a4fb552,2012-12-26T12:45:41.620,472792,,deleted 31 characters in body; edited title,,Use JAAS for LDAP password with Spring security,1,1,1
111440862,1,35550345,56653611-104b-49e4-9bed-6a5f7ec4d1ae,2016-02-22T09:45:49.730,,user5891223,,,"Getting Error while ,Sending email through Gmail",0,0,0
114859532,4,35550345,72033cd1-b393-4841-ad22-79a9c92cb998,2016-04-04T17:39:10.090,2553194,,Fix title. Minor changes in main text.,,Getting error while sending email through Gmail,0,0,0
902583,1,540275,cfcbea7c-abfd-43f5-a77f-db66071bc3d5,2009-02-12T06:33:00.063,2994,,,,Can I make a single Perl module that can act as multiple kinds of mod_perl handler?,1,1,1
902587,4,540275,fb975979-f74d-4216-8b38-faea8c881a3c,2009-02-12T08:47:39.647,8457,,edited title,,Can I make a single Perl module that can act as multiple kinds of mod_perl handlers?,1,1,1
902588,4,540275,ba521815-1778-413c-a113-2c226825e261,2009-02-12T12:33:18.183,8457,,edited title,,Can I make a single Perl module act as multiple kinds of mod_perl handlers?,1,1,1
110346989,1,35273391,dca068f8-ec37-43e1-94cd-a0097c948305,2016-02-08T15:37:18.113,773694,,,,workflow for adding and editing tables in MS Access with Azure SQL Backend,1,1,1
110386500,4,35273391,8bdee639-0fa9-466a-9f9b-8a1f22e7d685,2016-02-09T03:40:43.890,4102957,,Minor edits,,Workflow for adding and editing tables in MS Access with Azure SQL Database Backend,1,1,1
141445572,1,43001448,d9336da8-4713-4252-8f00-05ed2f3e9b8a,2017-03-24T14:00:02.540,7762589,,,,"""Mouse Not Captured In Remote Desktop Sesion"" in Hyper-V",0,0,0
174642078,4,43001448,dff257fc-a781-4884-9082-a2b9fc22cf97,2018-06-01T01:26:03.243,1033581,,"removing ""help""",,"""Mouse Not Captured In Remote Desktop Sesion"" in Hyper-V",0,0,0
129502833,1,40094897,9dd93e13-c1ce-4075-b6f2-40e31db154ad,2016-10-17T20:14:14.247,794102,,,,Socket.io possible ID collisions,0,0,0
129557433,4,40094897,ca077994-dd41-4b74-ae3f-6d82b8bd0683,2016-10-18T12:59:10.643,794102,,Changed Title to reflect behavior,,Socket.io wrong data being sent to socket (possible ID collisions),0,0,0
20328752,1,8987677,3d89b7d2-3761-49c7-973d-d6dfedabbd43,2012-01-24T13:33:12.773,218183,,,,"Copying tables contents across 2 tables, from text to st_geometry?",0,1,1
20330160,4,8987677,88751583-e0e7-420c-8313-de2da0d982f0,2012-01-24T14:10:35.867,218183,,edited title,,"DB2: Insert into a column of data type st_Geometry, from a column of varchar datatype? ",0,1,1
3610664,1,1803831,f7f641f9-d3a9-48dc-a27f-d1a5ed4d18ba,2009-11-26T14:01:32.340,52458,,,,Is it possible to clone a Value type?,1,1,1
3611453,4,1803831,9e103585-b764-4187-a9c3-09f7da6c759a,2009-11-26T15:04:02.853,52458,,added 386 characters in body; edited title,,Is it possible to clone a ValueType?,1,1,1
168234048,1,49110133,6c04a74c-f2c4-4263-89a4-003faa1405c8,2018-03-05T12:04:56.200,2235839,,,,Git - pull/merge a specific commit of a branch,1,1,1
168234082,4,49110133,a8fd6763-f84d-4853-8d10-3859f102f5b3,2018-03-05T12:05:35.217,13860,,don't put tags in the title,,pull/merge a specific commit of a branch,1,1,1
168234116,4,49110133,949a7e09-fd09-4270-9f15-e7f4d99b3b08,2018-03-05T12:06:10.623,2235839,,added 2 characters in body; edited title,,Pull/merge a specific commit of a branch,1,1,1
168238058,4,49110133,754da5bd-5462-4386-9fc3-919cabc141f5,2018-03-05T13:01:40.350,1441,,make it clear they don't want *one* commit as originally implied,,Pull/merge a specific range of commits of a branch,1,1,1
23550279,1,10262733,8353e738-3fe9-4f27-a7f5-5ab993e254cf,2012-04-21T20:29:24.737,754494,,,,iOS App ALWAYS crashing on launch during app review - can't reproduce EVER,0,0,0
23646392,4,10262733,34784265-cf23-4c05-b4f8-fcf9fffe6adf,2012-04-24T14:58:43.837,754494,,added 2 characters in body,,iOS App with Static Lib crashes ONLY on launch of Archive Build loaded Ad Hoc. Can't reproduce in Debugger,0,0,0
127917351,1,39698628,c82c65a3-a6ca-41ab-9f53-13124e7edd1c,2016-09-26T09:01:39.880,6725503,,,,How to give editext with label (in editext) as front of edittextbox,1,1,1
127920326,4,39698628,71e2b041-96ff-44cb-8b40-e0ae48f76fd9,2016-09-26T09:39:21.007,2649012,,deleted 13 characters in body; edited title,,How to give an `EditText` a label to its left side?,1,1,1
87954658,1,29595291,9d7ca384-abcb-47a2-a364-fecbf965e14c,2015-04-12T22:17:49.467,2028827,,,,Having trouble adding a condition to query after HAVING clause mySQL,0,0,0
87954994,4,29595291,f72f1dfb-73ce-4ec0-b9c7-5e403319e7c6,2015-04-12T22:25:44.410,1175077,,edited tags,,Having trouble adding a condition to query in HAVING clause,0,0,0
8295133,1,3949510,59dadd13-8298-4d0a-83d9-9dadc02ba327,2010-10-16T15:33:35.140,477991,,,,OpenGL bitmap fonts implemetation questions,0,0,0
8295312,4,3949510,690132ef-fd63-456a-8f66-504e56e0e599,2010-10-16T15:54:44.777,477991,,added 71 characters in body; edited title; edited tags,,OpenGL texutre mapped font rendering,0,0,0
126413735,1,39323625,7a0f8705-2a5e-495e-9b3e-d9d29a355912,2016-09-05T03:41:56.043,6208211,,,,python zip look like wired?,0,0,0
126414284,4,39323625,d1297779-3100-499f-9b56-88ed13819cef,2016-09-05T04:02:56.550,793428,,edited title,,python zip result looks weird?,0,0,0
126497132,4,39323625,90ff02dd-13f0-4499-b2a6-cd39dc09c532,2016-09-06T09:02:35.017,477476,,added 25 characters in body; edited title,,"zip gets ""exhausted"" by one loop",0,0,0
177855632,1,51390354,ba9c842c-6c6d-44d6-828d-c11354b09e28,2018-07-17T21:21:07.380,10096032,,,,Making Compares of lists even faster,1,1,1
177855913,4,51390354,e8c437d1-1bb6-4b49-9f5d-49292b23fd6d,2018-07-17T21:26:50.920,2875563,,edited tags; edited title,,Making Comparisons of two lists faster,1,1,1
149843719,1,44667982,5399228f-f932-4c56-92b9-18a5d302a613,2017-06-21T06:05:13.377,2211640,,,,Error while calling recycler view from fragment in android,0,0,0
150380716,4,44667982,53b9ac04-a9eb-4d71-8add-098c5b1c9def,2017-06-28T11:37:16.323,2211640,,edited title,,"Display recycler view in fragment having ""Attempt to invoke virtual method "" exception in android",0,0,0
150381251,4,44667982,74688340-5853-485f-9b9f-28b01274f5df,2017-06-28T11:43:44.610,2211640,,edited title,,Display recycler view in fragment in android,1,0,0
150704643,4,44667982,241791e6-f58e-4426-bd7f-a3acda73e864,2017-07-03T08:08:30.357,2211640,,edited title,,How can display recycler view using fragment in android,1,0,0
63623306,1,23271363,115672b0-3678-4890-bd9a-46de2a0b4f65,2014-04-24T14:08:43.727,3459475,,,,Android Java with Facebook Newsfeed,0,0,0
