Id,PostHistoryTypeId,PostId,RevisionGUID,CreationDate,UserId,UserDisplayName,Comment,CloseReasonTypes,Text,Edit Action,Edit Object,Edit Constraint,Others
155621535,4,46085766,cd0a4e4f-83c6-46f8-91db-67eb4756aa97,2017-09-07T06:47:33.917,8571585,,edited title,,loop over json data object and display all dynamically except one value,0,0,1,0
155627030,4,46085766,78f56106-0f28-445f-bb03-ff470a2b81c4,2017-09-07T07:59:54.913,8571585,,correction of the title,,loop over json data array and display all dynamically except one value,0,1,0,0
155629919,4,46085766,676dd177-06c0-4a0c-a421-cc2af71a285e,2017-09-07T08:40:51.740,8571585,,change the title to be more specific,,Not to display the ID (title & value) while looping over json data array dynamically,1,1,1,1
69255563,1,24728022,94aa5be3-e921-4549-8ef1-8d8dd593d439,2014-07-14T00:02:33.777,535967,,,,Get phone screen rotation in Swift?,0,0,0,0
69620895,4,24728022,35fa6396-8664-4dc9-8003-435f7b14fbfb,2014-07-18T12:49:18.750,535967,,edited title,,Get device absolute rotation in Swift?,0,1,0,0
69685694,4,24728022,5f42ac4d-dd95-47c9-874d-755fc6255adf,2014-07-19T16:45:35.853,535967,,edited title,,Get device absolute rotation with Accelerometer and Gyroscope?,0,0,1,0
70558309,4,24728022,cdd3ee90-09d2-4c5d-b042-926f6d2a3df4,2014-08-01T01:28:15.333,535967,,added 649 characters in body; edited title,,Obtain absolute rotation using CMDeviceMotion?,1,1,1,0
114963899,1,36436077,3774901f-8388-427d-b6ac-94981e04a50b,2016-04-05T20:09:44.757,907975,,,,Update dictionary with previously deleted items - Swift,0,0,0,0
114963945,4,36436077,803ca95e-5958-4de1-bb48-43485200e7a8,2016-04-05T20:10:23.917,2227743,,edited title,,Update dictionary with previously deleted items,0,0,1,0
33657849,1,14039038,3ec9902e-a3b2-4905-bceb-8badbf3c08f1,2012-12-26T10:10:48.333,991124,,,,Use JAAS for ldap password with spring security,0,0,0,0
33662648,4,14039038,7620878a-90ad-4d9f-abb5-1c350a4fb552,2012-12-26T12:45:41.620,472792,,deleted 31 characters in body; edited title,,Use JAAS for LDAP password with Spring security,0,0,1,0
902583,1,540275,cfcbea7c-abfd-43f5-a77f-db66071bc3d5,2009-02-12T06:33:00.063,2994,,,,Can I make a single Perl module that can act as multiple kinds of mod_perl handler?,0,0,0,0
902587,4,540275,fb975979-f74d-4216-8b38-faea8c881a3c,2009-02-12T08:47:39.647,8457,,edited title,,Can I make a single Perl module that can act as multiple kinds of mod_perl handlers?,0,0,0,1
902588,4,540275,ba521815-1778-413c-a113-2c226825e261,2009-02-12T12:33:18.183,8457,,edited title,,Can I make a single Perl module act as multiple kinds of mod_perl handlers?,0,0,0,1
110346989,1,35273391,dca068f8-ec37-43e1-94cd-a0097c948305,2016-02-08T15:37:18.113,773694,,,,workflow for adding and editing tables in MS Access with Azure SQL Backend,0,0,0,0
110386500,4,35273391,8bdee639-0fa9-466a-9f9b-8a1f22e7d685,2016-02-09T03:40:43.890,4102957,,Minor edits,,Workflow for adding and editing tables in MS Access with Azure SQL Database Backend,0,0,1,0
20328752,1,8987677,3d89b7d2-3761-49c7-973d-d6dfedabbd43,2012-01-24T13:33:12.773,218183,,,,"Copying tables contents across 2 tables, from text to st_geometry?",0,0,0,0
20330160,4,8987677,88751583-e0e7-420c-8313-de2da0d982f0,2012-01-24T14:10:35.867,218183,,edited title,,"DB2: Insert into a column of data type st_Geometry, from a column of varchar datatype? ",1,1,1,0
3610664,1,1803831,f7f641f9-d3a9-48dc-a27f-d1a5ed4d18ba,2009-11-26T14:01:32.340,52458,,,,Is it possible to clone a Value type?,0,0,0,0
3611453,4,1803831,9e103585-b764-4187-a9c3-09f7da6c759a,2009-11-26T15:04:02.853,52458,,added 386 characters in body; edited title,,Is it possible to clone a ValueType?,0,1,0,0
168234048,1,49110133,6c04a74c-f2c4-4263-89a4-003faa1405c8,2018-03-05T12:04:56.200,2235839,,,,Git - pull/merge a specific commit of a branch,0,0,0,0
168234082,4,49110133,a8fd6763-f84d-4853-8d10-3859f102f5b3,2018-03-05T12:05:35.217,13860,,don't put tags in the title,,pull/merge a specific commit of a branch,0,0,1,0
168234116,4,49110133,949a7e09-fd09-4270-9f15-e7f4d99b3b08,2018-03-05T12:06:10.623,2235839,,added 2 characters in body; edited title,,Pull/merge a specific commit of a branch,1,0,0,0
168238058,4,49110133,754da5bd-5462-4386-9fc3-919cabc141f5,2018-03-05T13:01:40.350,1441,,make it clear they don't want *one* commit as originally implied,,Pull/merge a specific range of commits of a branch,0,1,0,0
127917351,1,39698628,c82c65a3-a6ca-41ab-9f53-13124e7edd1c,2016-09-26T09:01:39.880,6725503,,,,How to give editext with label (in editext) as front of edittextbox,0,0,0,0
127920326,4,39698628,71e2b041-96ff-44cb-8b40-e0ae48f76fd9,2016-09-26T09:39:21.007,2649012,,deleted 13 characters in body; edited title,,How to give an `EditText` a label to its left side?,0,1,1,0
177855632,1,51390354,ba9c842c-6c6d-44d6-828d-c11354b09e28,2018-07-17T21:21:07.380,10096032,,,,Making Compares of lists even faster,0,0,0,0
177855913,4,51390354,e8c437d1-1bb6-4b49-9f5d-49292b23fd6d,2018-07-17T21:26:50.920,2875563,,edited tags; edited title,,Making Comparisons of two lists faster,0,1,0,0
63376609,1,23204952,5877d979-10cb-45f3-af24-f6dac036f830,2014-04-21T19:57:32.793,1818434,,,,How to change the lcoation of a .chm file at runtime,0,0,0,0
63450038,4,23204952,a916a05f-ac15-43c5-a842-719265ccea31,2014-04-22T16:05:19.577,127742,,Title misspelled,,How to change the location of a .chm file at runtime,0,1,0,0
156976677,1,46413770,0f968a5c-8917-4af5-85c5-3bac6cff9a08,2017-09-25T20:36:50.907,2901200,,,,R - multiply a dataframe element-wise by a row,0,0,0,0
156979858,4,46413770,36bd03e7-1f13-4365-90af-6b689faa8b2f,2017-09-25T21:35:18.797,7128934,,deleted 9 characters in body; edited title,,multiply a dataframe element-wise by a row,0,0,1,0
129748001,1,40158618,40664bd7-fd96-4536-935b-2b403dd56cfa,2016-10-20T15:27:33.133,864233,,,,Create foundation grid within LI elements,0,0,0,0
130116867,4,40158618,c19af030-4096-4d14-8618-0f76ae43ec93,2016-10-25T19:58:22.227,4952806,,edited tags; edited title,,Create foundation grid within list elements,0,0,1,0
152744383,1,45390081,c9b6679d-37a6-40b4-89ad-898d65b7d05e,2017-07-29T13:58:12.707,2013891,,,,Mercurial (hg): tranform multiple repos to single repo,0,0,0,0
152748057,4,45390081,cb2aa59a-81f2-4424-9d9f-45dd7d0b231d,2017-07-29T15:25:54.537,2013891,,edit typo in title,,Mercurial (hg): transform multiple repos to single repo,1,0,0,0
43882702,1,17712537,81c65146-5171-43cb-a919-910d8abbe33c,2013-07-18T00:26:38.607,2580851,,,,C# Hiding a process (Process dosen't hide),0,0,0,0
43889296,4,17712537,af71bb8f-4a1c-4460-86fd-8adb4f501219,2013-07-18T04:54:44.100,13302,,edited body; edited title,,C# Hiding a process (Process doesn't hide),0,0,0,1
130519133,1,40347649,5d74170f-6df6-4a32-a46a-2f97050c97c2,2016-10-31T17:48:06.093,2489065,,,,How to isolate component from activity when he needs start the intent for result?,0,0,0,0
130520709,4,40347649,9db9e5d2-7d6f-4eb0-9c1b-2e32d5999bbc,2016-10-31T18:13:48.440,2489065,,edited title,,How to isolate component from activity when it needs start the intent for result?,0,0,0,1
33857385,1,14109454,1c3d395b-d1f5-4df2-b1f5-892fab6f3269,2013-01-01T09:54:46.913,328333,,,,Rails string array and Postgre,0,0,0,0
33864869,4,14109454,c7017357-c255-4198-9bdd-e62b19a89be1,2013-01-01T16:27:44.543,328333,,edited title,,Rails string array and postgresql,0,1,0,0
33866488,4,14109454,be1e9522-3d90-4efc-a6ec-13fe99e5423b,2013-01-01T17:39:44.893,128421,,added 10 characters in body,,Rails string array and PostgreSQL,0,1,0,0
19679330,1,8730154,95a0db23-a978-4893-9467-b8fb741812dd,2012-01-04T16:22:21.123,1130310,,,,Wpf: Binding when using XPath and UpdateSourceTrigger=Explicit,0,0,0,0
19679841,4,8730154,65d1b8bc-e19c-48bf-a938-de20bba3e92c,2012-01-04T16:35:18.577,546730,,edited title,,Binding when using XPath and UpdateSourceTrigger=Explicit,0,0,1,0
53134305,1,20444365,0094352d-4a33-40f9-be07-7d54814a63ec,2013-12-07T17:34:46.267,2982914,,,,index out of rangeMust be non negative and les than size of collection parameter name index,0,0,0,0
53134554,4,20444365,4f27b99a-806a-4e7e-8d4f-b5812faab9fd,2013-12-07T17:40:23.260,2486495,,alignment and grammer,,index out of rangeMust be non negative and less than size of collection parameter name index,0,0,1,0
53134991,4,20444365,5c293ac3-c74e-47ba-a3e7-539b6606ef39,2013-12-07T17:50:03.720,809009,,added 4 characters in body; edited title,,Adding rows from db to a datagridview,1,1,1,0
134599530,1,41322901,c3245fc8-e4f0-49fe-8003-dd98fcf68813,2016-12-25T16:47:42.140,7340082,,,,How do i get my text to align my picture?,0,0,0,0
134603194,4,41322901,f7f612f9-f1aa-408a-8cfe-6584e9f9d47d,2016-12-25T18:56:57.367,6677244,,fixed problem with image added and improved formatting ,,How do I get my text to align my picture?,0,0,0,1
25410200,1,10980050,c6bc489f-d0c8-4ee3-ba2b-5ba4a0e1fafb,2012-06-11T12:24:06.437,983399,,,,"CSharp, preventing wpf form from hanging",0,0,0,0
25410310,4,10980050,a8173ee7-960a-45a5-8478-c0e95309324c,2012-06-11T12:26:09.027,546730,,edited title,,Preventing wpf form from hanging,0,0,1,0
25415026,4,10980050,fd781ad3-f14d-4690-b6a0-80614ace3dc0,2012-06-11T14:15:42.100,592318,,Form is used in Winforms,,Preventing wpf window from hanging,0,1,0,0
107541157,1,34563465,a18f3062-0770-4980-92f8-7f7373013eef,2016-01-02T06:56:25.183,5735559,,,,Android Quiz app Code Help me Figure out how to Randomize it please,0,0,0,0
107542436,4,34563465,bc7d22b1-292e-46d7-9ad5-b93dcdaebbac,2016-01-02T07:47:22.787,5735559,,edited title,,How to randomize my Questions using this code? PLEASE HELP T_T,0,1,1,1
107543600,4,34563465,ba00fcaf-44c6-4794-95f8-9f66a1cd72df,2016-01-02T08:40:18.683,,user180100,fix title and grammar; edited tags,,How to randomize my Questions using this code?,0,0,0,1
95503384,1,31520854,87015d62-c36f-4129-a9fe-2fa612e29308,2015-07-20T15:47:06.260,,user5135360,,,"Dynamically Filling a Data Grid With Indexes (WPF, C#, MVVM)",0,0,0,0
95506314,4,31520854,5814148b-1e68-476a-9dde-9233653be837,2015-07-20T16:25:00.707,4315707,,Heading Correctio dont give tas in heading,,Dynamically Filling a Data Grid With Indexes through Observable Collection,0,0,1,0
95506316,4,31520854,b76cf177-1a89-4231-8ee0-07e248389e1e,2015-07-20T16:25:00.707,56499,,Heading Correctio dont give tas in heading,,Dynamically Filling a Data Grid using a collection of values with row+column coordinates,0,0,1,0
21550105,1,9474910,44596b30-1c88-4fc7-8b42-f8f3b19185e2,2012-02-28T01:05:11.467,469718,,,,"how do you find using regular expression, characters beginning with and ending with any characters",0,0,0,0
21550226,4,9474910,374a8cb6-f305-42c5-865b-048192cf3b4b,2012-02-28T01:12:03.410,211563,,added 6 characters in body; edited title,,"How do you find using regular expression, characters beginning with and ending with any characters",0,0,0,1
162373923,1,47718021,8f6d067e-6998-4a79-b269-3dda281b9dc5,2017-12-08T16:04:42.427,4669116,,,,jquery fileupload check for init before destroy,0,0,0,0
162374096,4,47718021,737cae68-3f7c-435f-a6a6-c442b956dbb5,2017-12-08T16:07:21.677,7079025,,added 10 characters in body; edited title,,jQuery file upload check for init before destroy,0,1,1,0
92067210,1,30646237,8dcc6c11-45fe-49f6-89b7-ffad1d525f59,2015-06-04T14:13:23.533,3265472,,,,"Regular expression(s) to ensure all links have target=""_blank""",0,0,0,0
92076450,4,30646237,4552dcf1-b95e-42ec-9ce2-6418ef11fd21,2015-06-04T15:55:41.993,3832970,,added 3 characters in body; edited title,,"Regular expression to ensure all links have target=""_blank""",0,0,1,0
160804230,1,47340799,44ad6cd8-e9a7-48ae-8ee7-055af97ac95c,2017-11-16T23:18:31.497,992006,,,,sapui5 select XML node by attribute,0,0,0,0
160855622,4,47340799,65575b78-56a7-4ee0-9add-e2f31c15d901,2017-11-17T15:01:27.447,842181,,edited tags; edited title,,SAPUI5: Binding Attributes of XMLModels,1,1,1,0
19429688,1,8634004,65be0b9f-9d0b-4d8a-9be1-fdcc9107eb95,2011-12-26T08:09:26.463,1022965,,,,How to draw multi-colum UITableView,0,0,0,0
24760669,4,8634004,90d09802-ac9f-4526-9d9e-9837b10ab24f,2012-05-23T23:47:42.707,275567,,"spelling, clarity",,How to draw multi-column UITableView,0,1,0,0
24760672,4,8634004,33db0a2f-fc95-493c-98a2-7e805b6a0e37,2012-05-23T23:47:42.770,128421,,edit for readability,,How do I draw a multi-column UITableView?,0,0,0,1
179831195,1,51866330,5b24b44f-728f-4df5-8651-42a32ffd3fb8,2018-08-15T20:58:04.197,1883795,,,,"One-liner for creating a variable based on the sum of other variables defined in a regular expression? [python, pandas]",0,0,0,0
179832637,4,51866330,1f5d2825-640c-4214-9d23-6038458cccc3,2018-08-15T21:28:23.740,3001761,,edited title,,One-liner for creating a variable based on the sum of other variables defined in a regular expression?,0,0,1,0
6966499,1,3350985,4647a2a9-8c8a-41a5-8f63-9288a845b0c5,2010-07-28T08:09:33.090,125148,,,,How can i create a snmp trap handlers using c# ?,0,0,0,0
25486692,4,3350985,c08165cc-42a7-44f0-b4bd-371e5b4aeb4d,2012-06-13T06:34:09.177,851273,,deleted 3 characters in body; edited title,,How can I create a snmp trap handlers using c#?,0,0,0,1
111833411,1,35651630,f0ea268b-3583-4a93-8f86-5ea12978b22c,2016-02-26T12:22:07.383,77095,,,,Decode utf-8 in tarfile,0,0,0,0
111834099,4,35651630,0b42f414-015d-448f-afcf-246bab45b2b1,2016-02-26T12:30:06.587,77095,,edited title,,Decode utf-8 files in tarfile,0,1,0,0
111835352,4,35651630,b2ebd968-1f37-496d-9269-b908eb66c86c,2016-02-26T12:47:30.733,841339,,fixing identation,,Decode utf-8 in tarfile,0,1,0,0
173561879,1,50377259,270b5a4c-aa98-47cc-b999-88aaf13630a6,2018-05-16T17:54:02.387,1023548,,,,Java(script) save variable outside of program,0,0,0,0
173590479,4,50377259,3d457ae5-b8bc-46a5-ae0b-6f4ec67b45f2,2018-05-17T06:00:24.453,7093090,,Correct question title,,Javascript save variable outside of program,0,0,1,0
39106162,1,16003840,9f9e3680-49b0-4609-a9ed-ac4efc7eff27,2013-04-14T20:13:59.747,2273032,,,,Using Compass (sass) features with no compass project,0,0,0,0
39106663,4,16003840,f9d6ba5e-6a46-4539-8189-5ff4691f0fc4,2013-04-14T20:28:30.050,2273032,,edited tags,,Using Compass (sass) features without compass project,0,0,1,0
47242807,1,18793327,078cf48b-f206-4ca7-90dc-6d7a28d583ee,2013-09-13T18:56:06.583,651174,,,,ALTER TABLE split() in mysql,0,0,0,0
47243109,4,18793327,f5d77a3a-2190-46c1-b7b1-78d4259a8557,2013-09-13T19:01:32.637,651174,,edited title,,UPDATE TABLE split() in mysql,1,0,0,0
176181141,1,50999749,5de248b6-9d78-45a3-8884-b4dbbb09b9ed,2018-06-23T09:21:32.540,3131852,,,,How to globally import macros Rust 2018 without extern crate?,0,0,0,0
176181987,4,50999749,ce22f759-6968-432c-9c6e-9b519b50f060,2018-06-23T09:49:50.200,3131852,,edited title; deleted 10 characters in body; added 9 characters in body,,How to globally import macros in Rust 2018 without extern crate?,0,0,1,0
184749755,4,50999749,97021c0a-3955-4233-8782-3301ac957c91,2018-10-29T14:14:06.050,155423,,widen the title,,"How to import macros, derives, and procedural macros in Rust 2018 without using extern crate?",0,1,0,1
184750401,4,50999749,2c62e024-7c88-4e5f-86ed-e6a4aaac40f8,2018-10-29T14:22:12.797,155423,,edited title,,"How to import all macros, derives, and procedural macros in Rust 2018 without using extern crate?",0,1,0,0
45428684,1,18257648,26844266-17f2-4cfc-9b03-6fda427cdd69,2013-08-15T16:57:03.020,1246746,,,,get current date in java.sql.Date format,0,0,0,0
45429529,4,18257648,a81b7fca-38a0-4d9c-89b8-2e615cb2bc7a,2013-08-15T17:14:53.960,2115680,,"I've capitalize some I almost everywhere, add some word to make a bit of sense. Fix a bit the the title but not that much since I'm not sure if OP need a specific format for is date",,Get the current date in java.sql.Date format,1,1,0,0
26340948,1,11335738,3c2cd0dc-66e1-478e-b99a-ac9622ac9a92,2012-07-04T21:45:57.003,1395740,,,,Create std::list of value instead std::list of pointers in recursive function,0,0,0,0
26341057,4,11335738,0d5512c1-e443-441d-a812-9d879d145905,2012-07-04T21:52:07.077,1395740,,edited title,,Create std::list of value instead of std::list of pointers in recursive function,0,0,0,1
142193892,1,43184382,c00e7225-1500-468f-91e3-21f0afdce69d,2017-04-03T12:13:40.440,2389804,,,,Scale image from bottom right to top left with zoom out,0,0,0,0
142194825,4,43184382,f569223a-cf35-4ab9-86da-afec7c7914cb,2017-04-03T12:24:22.897,2389804,,edited title,,Scale up and move image from bottom right to top left with zoom out,1,0,0,0
28784692,1,12260992,ccaa133c-11b8-4f78-9d88-206d1461407c,2012-09-04T09:57:03.820,1374515,,,,Determine where user came from when not clicked a link,0,0,0,0
28785698,4,12260992,721df40e-11e5-4c45-bdea-d0453ef830f1,2012-09-04T10:17:35.920,1338292,,edited title,,Determine where user came from when address is manually entered,0,0,1,0
96844630,1,31865805,3af5326a-c2d9-417a-bda6-6d10f4c12f1e,2015-08-06T21:06:49.617,4275381,,,,how to check if two strings are equals,0,0,0,0
96845056,4,31865805,a55ce94a-6045-4b23-8686-bdf4ed741c8b,2015-08-06T21:14:02.867,2263631,,cleaned post and added tags.,,how to check if two strings are equals?,0,0,0,1
